geocod,geodsg,dim_3,dim_3_t,dim_4,dim_4_t,dim_5,dim_5_t,ind_string,valor,ano_referencia
11,Norte,1,H,9,50 - 54 anos,1,Nenhum,4 143,4143,2021
11,Norte,T,HM,10,55 - 59 anos,54,Mestrado,4 447,4447,2021
11,Norte,2,M,5,30 - 34 anos,22,2.º ciclo,4 449,4449,2021
11,Norte,2,M,9,50 - 54 anos,1,Nenhum,4 490,4490,2021
11,Norte,T,HM,7,40 - 44 anos,4,Ensino pós-secundário,4 520,4520,2021
11,Norte,2,M,13,70 - 74 anos,3,Ensino secundário,4 563,4563,2021
11,Norte,T,HM,12,65 - 69 anos,52,Bacharelato,4 591,4591,2021
11,Norte,T,HM,7,40 - 44 anos,1,Nenhum,4 724,4724,2021
11,Norte,1,H,7,40 - 44 anos,54,Mestrado,4 746,4746,2021
11,Norte,T,HM,6,35 - 39 anos,21,1.º ciclo,4 751,4751,2021
11,Norte,1,H,10,55 - 59 anos,1,Nenhum,4 769,4769,2021
11,Norte,1,H,14,75 ou mais anos,53,Licenciatura,4 828,4828,2021
11,Norte,2,M,14,75 ou mais anos,3,Ensino secundário,4 829,4829,2021
11,Norte,2,M,14,75 ou mais anos,52,Bacharelato,4 863,4863,2021
11,Norte,2,M,14,75 ou mais anos,53,Licenciatura,4 883,4883,2021
11,Norte,2,M,13,70 - 74 anos,53,Licenciatura,4 895,4895,2021
11,Norte,2,M,8,45 - 49 anos,54,Mestrado,4 955,4955,2021
11,Norte,2,M,13,70 - 74 anos,22,2.º ciclo,4 969,4969,2021
11,Norte,2,M,2,15 - 19 anos,22,2.º ciclo,5 015,5015,2021
11,Norte,2,M,3,20 - 24 anos,54,Mestrado,5 056,5056,2021
11,Norte,2,M,7,40 - 44 anos,21,1.º ciclo,5 216,5216,2021
11,Norte,T,HM,4,25 - 29 anos,22,2.º ciclo,5 287,5287,2021
11,Norte,1,H,13,70 - 74 anos,1,Nenhum,5 382,5382,2021
11,Norte,2,M,10,55 - 59 anos,1,Nenhum,5 454,5454,2021
11,Norte,T,HM,8,45 - 49 anos,52,Bacharelato,5 519,5519,2021
11,Norte,T,HM,6,35 - 39 anos,4,Ensino pós-secundário,5 566,5566,2021
11,Norte,1,H,13,70 - 74 anos,3,Ensino secundário,5 606,5606,2021
11,Norte,1,H,11,60 - 64 anos,1,Nenhum,5 693,5693,2021
11,Norte,T,HM,T,Total,51,Curso técnico superior profissional,5 697,5697,2021
11,Norte,T,HM,9,50 - 54 anos,54,Mestrado,5 832,5832,2021
11,Norte,T,HM,5,30 - 34 anos,4,Ensino pós-secundário,5 884,5884,2021
11,Norte,1,H,13,70 - 74 anos,22,2.º ciclo,5 901,5901,2021
11,Norte,T,HM,4,25 - 29 anos,4,Ensino pós-secundário,5 913,5913,2021
11,Norte,2,M,14,75 ou mais anos,22,2.º ciclo,5 947,5947,2021
11,Norte,1,H,14,75 ou mais anos,3,Ensino secundário,6 004,6004,2021
11,Norte,1,H,7,40 - 44 anos,21,1.º ciclo,6 087,6087,2021
11,Norte,1,H,1,Menos de 15 anos,23,3.º ciclo,6 114,6114,2021
11,Norte,1,H,12,65 - 69 anos,1,Nenhum,6 159,6159,2021
11,Norte,1,H,13,70 - 74 anos,5,Ensino superior,6 366,6366,2021
11,Norte,2,M,1,Menos de 15 anos,23,3.º ciclo,6 394,6394,2021
11,Norte,T,HM,8,45 - 49 anos,1,Nenhum,6 452,6452,2021
11,Norte,1,H,12,65 - 69 anos,53,Licenciatura,6 613,6613,2021
11,Norte,1,H,14,75 ou mais anos,22,2.º ciclo,6 629,6629,2021
11,Norte,T,HM,14,75 ou mais anos,52,Bacharelato,6 678,6678,2021
11,Norte,2,M,11,60 - 64 anos,1,Nenhum,6 918,6918,2021
11,Norte,2,M,7,40 - 44 anos,54,Mestrado,6 975,6975,2021
11,Norte,1,H,11,60 - 64 anos,53,Licenciatura,7 235,7235,2021
11,Norte,1,H,2,15 - 19 anos,22,2.º ciclo,7 399,7399,2021
11,Norte,1,H,14,75 ou mais anos,5,Ensino superior,7 454,7454,2021
11,Norte,1,H,6,35 - 39 anos,54,Mestrado,7 471,7471,2021
11,Norte,2,M,12,65 - 69 anos,22,2.º ciclo,7 608,7608,2021
11,Norte,2,M,3,20 - 24 anos,23,3.º ciclo,7 641,7641,2021
11,Norte,2,M,6,35 - 39 anos,22,2.º ciclo,7 663,7663,2021
11,Norte,1,H,T,Total,55,Doutoramento,7 664,7664,2021
11,Norte,1,H,12,65 - 69 anos,22,2.º ciclo,8 069,8069,2021
11,Norte,2,M,13,70 - 74 anos,5,Ensino superior,8 163,8163,2021
11,Norte,2,M,12,65 - 69 anos,1,Nenhum,8 281,8281,2021
11,Norte,T,HM,3,20 - 24 anos,54,Mestrado,8 337,8337,2021
11,Norte,1,H,5,30 - 34 anos,22,2.º ciclo,8 341,8341,2021
11,Norte,2,M,13,70 - 74 anos,23,3.º ciclo,8 350,8350,2021
11,Norte,T,HM,8,45 - 49 anos,54,Mestrado,8 512,8512,2021
11,Norte,2,M,T,Total,55,Doutoramento,8 518,8518,2021
11,Norte,1,H,10,55 - 59 anos,53,Licenciatura,8 593,8593,2021
11,Norte,2,M,12,65 - 69 anos,53,Licenciatura,8 603,8603,2021
11,Norte,T,HM,9,50 - 54 anos,1,Nenhum,8 633,8633,2021
11,Norte,2,M,12,65 - 69 anos,3,Ensino secundário,8 702,8702,2021
11,Norte,2,M,3,20 - 24 anos,2,Ensino básico,9 008,9008,2021
11,Norte,T,HM,13,70 - 74 anos,53,Licenciatura,9 037,9037,2021
11,Norte,2,M,14,75 ou mais anos,23,3.º ciclo,9 641,9641,2021
11,Norte,1,H,12,65 - 69 anos,5,Ensino superior,9 654,9654,2021
11,Norte,T,HM,14,75 ou mais anos,53,Licenciatura,9 711,9711,2021
11,Norte,1,H,13,70 - 74 anos,23,3.º ciclo,9 848,9848,2021
11,Norte,T,HM,13,70 - 74 anos,3,Ensino secundário,10 169,10169,2021
11,Norte,2,M,14,75 ou mais anos,5,Ensino superior,10 205,10205,2021
11,Norte,T,HM,10,55 - 59 anos,1,Nenhum,10 223,10223,2021
11,Norte,2,M,4,25 - 29 anos,23,3.º ciclo,10 251,10251,2021
11,Norte,1,H,12,65 - 69 anos,3,Ensino secundário,10 382,10382,2021
11,Norte,2,M,6,35 - 39 anos,54,Mestrado,10 468,10468,2021
11,Norte,2,M,12,65 - 69 anos,23,3.º ciclo,10 540,10540,2021
11,Norte,2,M,13,70 - 74 anos,1,Nenhum,10 560,10560,2021
11,Norte,1,H,11,60 - 64 anos,5,Ensino superior,10 565,10565,2021
11,Norte,T,HM,14,75 ou mais anos,3,Ensino secundário,10 833,10833,2021
11,Norte,T,HM,13,70 - 74 anos,22,2.º ciclo,10 870,10870,2021
11,Norte,1,H,12,65 - 69 anos,23,3.º ciclo,10 871,10871,2021
11,Norte,T,HM,7,40 - 44 anos,21,1.º ciclo,11 303,11303,2021
11,Norte,1,H,5,30 - 34 anos,54,Mestrado,11 314,11314,2021
11,Norte,2,M,11,60 - 64 anos,53,Licenciatura,11 337,11337,2021
11,Norte,1,H,9,50 - 54 anos,53,Licenciatura,11 525,11525,2021
11,Norte,1,H,14,75 ou mais anos,23,3.º ciclo,11 585,11585,2021
11,Norte,T,HM,7,40 - 44 anos,54,Mestrado,11 721,11721,2021
11,Norte,1,H,4,25 - 29 anos,54,Mestrado,12 173,12173,2021
11,Norte,1,H,6,35 - 39 anos,22,2.º ciclo,12 335,12335,2021
11,Norte,T,HM,2,15 - 19 anos,22,2.º ciclo,12 414,12414,2021
11,Norte,T,HM,1,Menos de 15 anos,23,3.º ciclo,12 508,12508,2021
11,Norte,2,M,4,25 - 29 anos,2,Ensino básico,12 543,12543,2021
11,Norte,2,M,12,65 - 69 anos,5,Ensino superior,12 565,12565,2021
11,Norte,T,HM,14,75 ou mais anos,22,2.º ciclo,12 576,12576,2021
11,Norte,T,HM,11,60 - 64 anos,1,Nenhum,12 611,12611,2021
11,Norte,1,H,10,55 - 59 anos,5,Ensino superior,12 694,12694,2021
11,Norte,T,HM,5,30 - 34 anos,22,2.º ciclo,12 790,12790,2021
11,Norte,2,M,T,Total,4,Ensino pós-secundário,13 194,13194,2021
11,Norte,1,H,8,45 - 49 anos,21,1.º ciclo,14 065,14065,2021
11,Norte,2,M,8,45 - 49 anos,21,1.º ciclo,14 112,14112,2021
11,Norte,T,HM,12,65 - 69 anos,1,Nenhum,14 440,14440,2021
11,Norte,T,HM,13,70 - 74 anos,5,Ensino superior,14 529,14529,2021
11,Norte,2,M,10,55 - 59 anos,53,Licenciatura,14 561,14561,2021
11,Norte,1,H,3,20 - 24 anos,53,Licenciatura,14 647,14647,2021
11,Norte,1,H,5,30 - 34 anos,53,Licenciatura,14 766,14766,2021
11,Norte,1,H,T,Total,52,Bacharelato,14 804,14804,2021
11,Norte,1,H,3,20 - 24 anos,23,3.º ciclo,14 919,14919,2021
11,Norte,2,M,11,60 - 64 anos,5,Ensino superior,14 949,14949,2021
11,Norte,T,HM,12,65 - 69 anos,53,Licenciatura,15 216,15216,2021
11,Norte,T,HM,12,65 - 69 anos,22,2.º ciclo,15 677,15677,2021
11,Norte,T,HM,13,70 - 74 anos,1,Nenhum,15 942,15942,2021
11,Norte,1,H,4,25 - 29 anos,53,Licenciatura,16 001,16001,2021
11,Norte,T,HM,T,Total,55,Doutoramento,16 182,16182,2021
11,Norte,2,M,5,30 - 34 anos,23,3.º ciclo,16 278,16278,2021
11,Norte,2,M,5,30 - 34 anos,54,Mestrado,16 603,16603,2021
11,Norte,1,H,9,50 - 54 anos,5,Ensino superior,16 685,16685,2021
11,Norte,1,H,11,60 - 64 anos,3,Ensino secundário,16 765,16765,2021
11,Norte,2,M,11,60 - 64 anos,3,Ensino secundário,17 415,17415,2021
11,Norte,1,H,3,20 - 24 anos,2,Ensino básico,17 504,17504,2021
11,Norte,1,H,11,60 - 64 anos,23,3.º ciclo,17 552,17552,2021
11,Norte,1,H,8,45 - 49 anos,53,Licenciatura,17 658,17658,2021
11,Norte,T,HM,14,75 ou mais anos,5,Ensino superior,17 659,17659,2021
11,Norte,1,H,6,35 - 39 anos,53,Licenciatura,17 689,17689,2021
11,Norte,T,HM,6,35 - 39 anos,54,Mestrado,17 939,17939,2021
11,Norte,2,M,7,40 - 44 anos,22,2.º ciclo,18 024,18024,2021
11,Norte,T,HM,13,70 - 74 anos,23,3.º ciclo,18 198,18198,2021
11,Norte,1,H,4,25 - 29 anos,23,3.º ciclo,18 244,18244,2021
11,Norte,T,HM,11,60 - 64 anos,53,Licenciatura,18 572,18572,2021
11,Norte,1,H,T,Total,4,Ensino pós-secundário,18 673,18673,2021
11,Norte,2,M,11,60 - 64 anos,23,3.º ciclo,18 867,18867,2021
11,Norte,2,M,9,50 - 54 anos,53,Licenciatura,18 895,18895,2021
11,Norte,T,HM,12,65 - 69 anos,3,Ensino secundário,19 084,19084,2021
11,Norte,2,M,4,25 - 29 anos,54,Mestrado,19 109,19109,2021
11,Norte,1,H,11,60 - 64 anos,22,2.º ciclo,19 238,19238,2021
11,Norte,2,M,10,55 - 59 anos,5,Ensino superior,19 631,19631,2021
11,Norte,1,H,3,20 - 24 anos,5,Ensino superior,19 672,19672,2021
11,Norte,1,H,10,55 - 59 anos,3,Ensino secundário,19 732,19732,2021
11,Norte,T,HM,6,35 - 39 anos,22,2.º ciclo,19 998,19998,2021
11,Norte,2,M,11,60 - 64 anos,22,2.º ciclo,20 104,20104,2021
11,Norte,T,HM,14,75 ou mais anos,23,3.º ciclo,21 226,21226,2021
11,Norte,1,H,7,40 - 44 anos,53,Licenciatura,21 265,21265,2021
11,Norte,T,HM,12,65 - 69 anos,23,3.º ciclo,21 411,21411,2021
11,Norte,2,M,5,30 - 34 anos,2,Ensino básico,21 734,21734,2021
11,Norte,1,H,10,55 - 59 anos,23,3.º ciclo,21 951,21951,2021
11,Norte,T,HM,12,65 - 69 anos,5,Ensino superior,22 219,22219,2021
11,Norte,1,H,4,25 - 29 anos,2,Ensino básico,22 306,22306,2021
11,Norte,1,H,9,50 - 54 anos,3,Ensino secundário,22 340,22340,2021
11,Norte,1,H,5,30 - 34 anos,23,3.º ciclo,22 369,22369,2021
11,Norte,1,H,14,75 ou mais anos,1,Nenhum,22 547,22547,2021
11,Norte,T,HM,3,20 - 24 anos,23,3.º ciclo,22 560,22560,2021
11,Norte,2,M,6,35 - 39 anos,23,3.º ciclo,22 630,22630,2021
11,Norte,2,M,T,Total,52,Bacharelato,22 944,22944,2021
11,Norte,T,HM,10,55 - 59 anos,53,Licenciatura,23 154,23154,2021
11,Norte,2,M,10,55 - 59 anos,3,Ensino secundário,23 214,23214,2021
11,Norte,1,H,7,40 - 44 anos,22,2.º ciclo,23 578,23578,2021
11,Norte,1,H,9,50 - 54 anos,23,3.º ciclo,23 626,23626,2021
11,Norte,2,M,7,40 - 44 anos,23,3.º ciclo,24 253,24253,2021
11,Norte,2,M,5,30 - 34 anos,53,Licenciatura,24 256,24256,2021
11,Norte,2,M,10,55 - 59 anos,23,3.º ciclo,24 399,24399,2021
11,Norte,1,H,8,45 - 49 anos,5,Ensino superior,24 583,24583,2021
11,Norte,2,M,3,20 - 24 anos,53,Licenciatura,24 713,24713,2021
11,Norte,2,M,4,25 - 29 anos,53,Licenciatura,24 984,24984,2021
11,Norte,1,H,9,50 - 54 anos,21,1.º ciclo,25 481,25481,2021
11,Norte,T,HM,11,60 - 64 anos,5,Ensino superior,25 514,25514,2021
11,Norte,2,M,9,50 - 54 anos,5,Ensino superior,25 546,25546,2021
11,Norte,2,M,10,55 - 59 anos,22,2.º ciclo,26 054,26054,2021
11,Norte,T,HM,3,20 - 24 anos,2,Ensino básico,26 512,26512,2021
11,Norte,1,H,8,45 - 49 anos,23,3.º ciclo,26 568,26568,2021
11,Norte,2,M,9,50 - 54 anos,23,3.º ciclo,26 882,26882,2021
11,Norte,2,M,9,50 - 54 anos,3,Ensino secundário,27 001,27001,2021
11,Norte,2,M,8,45 - 49 anos,23,3.º ciclo,27 176,27176,2021
11,Norte,2,M,9,50 - 54 anos,21,1.º ciclo,27 293,27293,2021
11,Norte,1,H,5,30 - 34 anos,5,Ensino superior,27 462,27462,2021
11,Norte,1,H,6,35 - 39 anos,5,Ensino superior,27 544,27544,2021
11,Norte,1,H,7,40 - 44 anos,23,3.º ciclo,27 675,27675,2021
11,Norte,1,H,10,55 - 59 anos,22,2.º ciclo,27 816,27816,2021
11,Norte,T,HM,5,30 - 34 anos,54,Mestrado,27 917,27917,2021
